verb	aspect	id	pair	pair_aspect	pair_id	pair_type
śpieszyć	ndk	274809	pośpieszyć	dk	274810	empty
śpiewać	ndk	256011	zaśpiewać	dk	256013	empty
tańczyć	ndk	273961	zatańczyć	dk	273963	empty
tkwić	ndk	272345	utkwić	dk	272346	empty
tłuc	ndk	250168	stłuc	dk	250178	empty
tłumaczyć	ndk	273699	przetłumaczyć	dk	273703	empty
tłumaczyć	ndk	273699	wytłumaczyć	dk	273703	empty
toczyć	ndk	274086	potoczyć	dk	274098	empty
tonąć	ndk	266781	zatonąć	dk	266785	empty
tonąć	ndk	266781	utonąć	dk	266785	empty
tracić	ndk	269311	stracić	dk	269318	empty
trafiać	ndk	251555	trafić	dk	269858	suffixed
traktować	ndk	261190	potraktować	dk	261194	empty
trenować	ndk	259270	wytrenować	dk	259276	empty
troszczyć	ndk	274307	zatroszczyć	dk	274308	empty
trząść	ndk	273277	zatrząść	dk	273279	empty
tworzyć	ndk	274592	utworzyć	dk	274604	empty
ubiegać	ndk	250947	ubiec	dk	266122	suffixed
ubiegać	ndk	250947	ubiegnąć	dk	266122	suffixed
ubierać	ndk	254772	ubrać	dk	254745	suffixed
uchodzić	ndk	272883	ujść	dk	273410	suppletion
uciekać	ndk	252989	uciec	dk	266483	suffixed
uciekać	ndk	252989	ucieknąć	dk	266483	suffixed
uczyć	ndk	274162	nauczyć	dk	274163	empty
udawać	ndk	255866	udać	dk	250825	suffixed
uderzać	ndk	265247	uderzyć	dk	274470	suffixed
udzielać	ndk	253767	udzielić	dk	270119	suffixed
ufać	ndk	250854	zaufać	dk	250855	empty
ujawniać	ndk	252036	ujawnić	dk	271310	suffixed
ujmować	ndk	259064	ująć	dk	265937	suffixed
ukazywać	ndk	264254	ukazać	dk	264401	suffixed
układać	ndk	250695	ułożyć	dk	275190	suppletion
ukrywać	ndk	263530	ukryć	dk	273610	suffixed
ulegać	ndk	250971	ulec	dk	266133	suffixed
ulegać	ndk	250971	ulegnąć	dk	266133	suffixed
ułatwiać	ndk	252574	ułatwić	dk	272504	suffixed
umierać	ndk	254813	umrzeć	dk	268777	suffixed
umieszczać	ndk	264744	umieścić	dk	269637	suffixed
umożliwiać	ndk	252541	umożliwić	dk	272329	suffixed
uniemożliwiać	ndk	252540	uniemożliwić	dk	272328	suffixed
unikać	ndk	253136	uniknąć	dk	266554	suffixed
unosić	ndk	272039	unieść	dk	273327	suffixed
upierać	ndk	254847	uprzeć	dk	268815	suffixed
uprawiać	ndk	252440	uprawić	dk	272203	suffixed
urządzać	ndk	264996	urządzić	dk	272735	suffixed
uspokajać	ndk	252673	uspokoić	dk	271521	suffixed
usprawiedliwiać	ndk	252527	usprawiedliwić	dk	272306	suffixed
ustalać	ndk	253640	ustalić	dk	269934	suffixed
ustawiać	ndk	252482	ustawić	dk	272238	suffixed
ustępować	ndk	259683	ustąpić	dk	279445	suffixed
usuwać	ndk	263040	usunąć	dk	267153	suffixed
uśmiechać	ndk	251238	uśmiechnąć	dk	266293	suffixed
uświadamiać	ndk	251562	uświadomić	dk	270530	suffixed
utrudniać	ndk	251767	utrudnić	dk	270763	suffixed
utrzymywać	ndk	263317	utrzymać	dk	254257	suffixed
uwielbiać	ndk	251527	uwielbić	dk	269128	suffixed
uwzględniać	ndk	251752	uwzględnić	dk	270728	suffixed
uzasadniać	ndk	251743	uzasadnić	dk	270718	suffixed
uznawać	ndk	255888	uznać	dk	254461	suffixed
uzupełniać	ndk	251915	uzupełnić	dk	271027	suffixed
uzyskiwać	ndk	256413	uzyskać	dk	253343	suffixed
używać	ndk	264367	użyć	dk	275256	suffixed
wahać	ndk	251198	zawahać	dk	251199	empty
walić	ndk	269940	walnąć	dk	266735	suffixed
ważyć	ndk	275022	zważyć	dk	275043	empty
wątpić	ndk	271817	zwątpić	dk	271818	empty
wbijać	ndk	252809	wbić	dk	269236	suffixed
wchodzić	ndk	272885	wejść	dk	273399	suppletion
wciągać	ndk	250913	wciągnąć	dk	266100	suffixed
wciskać	ndk	253281	wcisnąć	dk	266993	suffixed
widzieć	ndk	268287	zobaczyć	dk	273649	suppletion
wierzyć	ndk	274503	uwierzyć	dk	274510	empty
wieść	ndk	273339	powieść	dk	273347	empty
wieźć	ndk	275309	powieźć	dk	275318	empty
wirować	ndk	260267	wywirować	dk	1008875	empty
witać	ndk	255403	przywitać	dk	255420	empty
wjeżdżać	ndk	265751	wjechać	dk	251253	suffixed
wkładać	ndk	250698	włożyć	dk	275191	suppletion
wkraczać	ndk	264496	wkroczyć	dk	274062	suffixed
wlec	ndk	250106	powlec	dk	279544	empty
włączać	ndk	264536	włączyć	dk	273755	suffixed
wnosić	ndk	272041	wnieść	dk	273328	suffixed
wołać	ndk	254077	zawołać	dk	254079	empty
wpadać	ndk	250730	wpaść	dk	273229	suffixed
wpatrywać	ndk	263567	wpatrzeć	dk	274638	suffixed
wpatrywać	ndk	263567	wpatrzyć	dk	274638	suffixed
wpisywać	ndk	263630	wpisać	dk	255172	suffixed
wpływać	ndk	263267	wpłynąć	dk	267178	suffixed
wprowadzać	ndk	264970	wprowadzić	dk	272693	suffixed
wpuszczać	ndk	264812	wpuścić	dk	269733	suffixed
wracać	ndk	250373	wrócić	dk	279961	suffixed
wrzeszczeć	ndk	268679	wrzasnąć	dk	268681	suffixed
wrzeszczeć	ndk	268679	zawrzeszczeć	dk	268681	empty
wrzucać	ndk	250551	wrzucić	dk	269796	suffixed
wsiadać	ndk	250623	wsiąść	dk	273263	suffixed
wskazywać	ndk	264253	wskazać	dk	264400	suffixed
wspierać	ndk	254845	wesprzeć	dk	268814	suppletion
wspinać	ndk	254373	wspiąć	dk	265909	suffixed
wspominać	ndk	254355	wspomnąć	dk	267756	suffixed
wspominać	ndk	254355	wspomnieć	dk	267756	suffixed
wstawać	ndk	255950	wstać	dk	255770	suffixed
wtrącać	ndk	250407	wtrącić	dk	269347	suffixed
wybierać	ndk	254775	wybrać	dk	254746	suffixed
wybuchać	ndk	251308	wybuchnąć	dk	266348	suffixed
wychodzić	ndk	272887	wyjść	dk	273411	suffixed
wychowywać	ndk	263882	wychować	dk	257421	suffixed
wyciągać	ndk	250915	wyciągnąć	dk	266101	suffixed
wycierać	ndk	254808	wytrzeć	dk	268853	suffixed
wycofywać	ndk	263229	wycofać	dk	250853	suffixed
wyczuwać	ndk	263061	wyczuć	dk	273548	suffixed
wyć	ndk	273628	zawyć	dk	273629	empty
wydawać	ndk	255868	wydać	dk	250831	suffixed
wydobywać	ndk	263126	wydobyć	dk	273577	suffixed
wyglądać	ndk	250773	wyglądnąć	dk	268879	suffixed
wyglądać	ndk	250773	wyjrzeć	dk	268879	suffixed
wyglądać	ndk	250773	wyźrzeć	dk	268879	suffixed
wygrywać	ndk	263510	wygrać	dk	254963	suffixed
wyjaśniać	ndk	251985	wyjaśnić	dk	271201	suffixed
wyjeżdżać	ndk	265752	wyjechać	dk	251254	suffixed
wyjeżdżać	ndk	265753	wyjeździć	dk	273125	suffixed
wyjmować	ndk	259066	wyjąć	dk	265938	suffixed
wykazywać	ndk	264255	wykazać	dk	264402	suffixed
wykluczać	ndk	264678	wykluczyć	dk	274188	suffixed
wykładać	ndk	250700	wyłożyć	dk	275192	suffixed
wykonywać	ndk	263334	wykonać	dk	254392	suffixed
wykorzystywać	ndk	263738	wykorzystać	dk	255779	suffixed
wykrzykiwać	ndk	256485	wykrzyknąć	dk	266723	suffixed
wyliczać	ndk	264611	wyliczyć	dk	273874	suffixed
wyłaniać	ndk	251675	wyłonić	dk	271110	suffixed
wyłączać	ndk	264537	wyłączyć	dk	273756	suffixed
wymieniać	ndk	251809	wymienić	dk	270819	suffixed
wymyślać	ndk	253908	wymyśleć	dk	270386	suffixed
wymyślać	ndk	253908	wymyślić	dk	270386	suffixed
wynajmować	ndk	259046	wynająć	dk	265926	suffixed
wynikać	ndk	253138	wyniknąć	dk	266556	suffixed
wynosić	ndk	272044	wynieść	dk	273329	suffixed
wyobrażać	ndk	265656	wyobrazić	dk	272614	suffixed
wypadać	ndk	250732	wypaść	dk	273231	suffixed
wypatrywać	ndk	263568	wypatrzyć	dk	274639	suffixed
wypełniać	ndk	251917	wypełnić	dk	271028	suffixed
wypływać	ndk	263268	wypłynąć	dk	267179	suffixed
wypowiadać	ndk	250646	wypowiedzieć	dk	268273	suffixed
wyprawiać	ndk	252443	wyprawić	dk	272205	suffixed
wyprowadzać	ndk	264972	wyprowadzić	dk	272694	suffixed
wyprzedzać	ndk	265023	wyprzedzić	dk	272775	suffixed
wypuszczać	ndk	264814	wypuścić	dk	269734	suffixed
wypytywać	ndk	263747	wypytać	dk	255808	suffixed
wyrastać	ndk	255705	wyrosnąć	dk	273441	suffixed
wyrastać	ndk	255705	wyróść	dk	273441	suffixed
wyrażać	ndk	265684	wyrazić	dk	272621	suffixed
wyróżniać	ndk	252151	wyróżnić	dk	271496	suffixed
wyruszać	ndk	265579	wyruszyć	dk	274938	suffixed
wyrywać	ndk	263576	wyrwać	dk	262948	suffixed
wyrzucać	ndk	250554	wyrzucić	dk	269797	suffixed
wysiadać	ndk	250625	wysiąść	dk	273337	suffixed
wysiadać	ndk	250625	wysieść	dk	273337	suffixed
wystarczać	ndk	264655	wystarczyć	dk	274142	suffixed
wystawiać	ndk	252487	wystawić	dk	272241	suffixed
występować	ndk	259685	wystąpić	dk	271667	suffixed
wysuwać	ndk	263044	wysunąć	dk	267155	suffixed
wysyłać	ndk	254150	wysłać	dk	254123	suffixed
wytwarzać	ndk	265224	wytworzyć	dk	274605	suffixed
wywierać	ndk	254870	wywrzeć	dk	268873	suffixed
wywodzić	ndk	272981	wywieść	dk	273350	suffixed
wywoływać	ndk	263243	wywołać	dk	254085	suffixed
wyznaczać	ndk	264487	wyznaczyć	dk	273719	suffixed
wyznawać	ndk	255889	wyznać	dk	254462	suffixed
wzbudzać	ndk	265082	wzbudzić	dk	273014	suffixed
wzdychać	ndk	251369	westchnąć	dk	266344	suppletion
wzmacniać	ndk	251728	wzmocnić	dk	270712	suffixed
wznosić	ndk	272055	wznieść	dk	273333	suffixed
wzrastać	ndk	255712	wzrosnąć	dk	273445	suffixed
wzrastać	ndk	255712	wzrość	dk	273445	suffixed
wzrastać	ndk	255712	wzróść	dk	273445	suffixed
wzruszać	ndk	265582	wzruszyć	dk	274940	suffixed
wzywać	ndk	264352	wezwać	dk	264382	empty
zabierać	ndk	254759	zabrać	dk	254727	suffixed
zabijać	ndk	252790	zabić	dk	269059	suffixed
zabraniać	ndk	251679	zabronić	dk	271114	suffixed
zachęcać	ndk	250440	zachęcić	dk	269398	suffixed
zachodzić	ndk	272863	zajść	dk	273394	suffixed
zachowywać	ndk	263876	zachować	dk	257391	suffixed
zachwycać	ndk	250574	zachwycić	dk	269815	suffixed
zaciskać	ndk	253258	zacisnąć	dk	266981	suffixed
zaczynać	ndk	254403	zacząć	dk	267295	suffixed
zadawać	ndk	255845	zadać	dk	250758	suffixed
zaglądać	ndk	250760	zaglądnąć	dk	268754	suffixed
zaglądać	ndk	250760	zajrzeć	dk	268754	suffixed
zagrażać	ndk	265663	zagrozić	dk	273154	suffixed
zajmować	ndk	259049	zająć	dk	265928	suffixed
zakładać	ndk	250670	założyć	dk	275174	suffixed
zalecać	ndk	250433	zalecić	dk	269382	suffixed
zalewać	ndk	256088	zalać	dk	253688	suffixed
zaliczać	ndk	264602	zaliczyć	dk	273864	suffixed
załatwiać	ndk	252572	załatwić	dk	272502	suffixed
zamawiać	ndk	252389	zamówić	dk	272460	suffixed
zamieniać	ndk	251786	zamienić	dk	270790	suffixed
zamierzać	ndk	265251	zamierzyć	dk	274476	suffixed
zamieszkiwać	ndk	256493	zamieszkać	dk	279279	suffixed
zamykać	ndk	253457	zamknąć	dk	266581	suffixed
zapadać	ndk	250711	zapaść	dk	273209	suffixed
zapalać	ndk	253609	zapalić	dk	269912	suffixed
zapewniać	ndk	252041	zapewnić	dk	271316	suffixed
zapisywać	ndk	263618	zapisać	dk	255163	suffixed
zapominać	ndk	254350	zapomnąć	dk	267752	suffixed
zapominać	ndk	254350	zapomnieć	dk	267752	suffixed
zapowiadać	ndk	250635	zapowiedzieć	dk	268267	suffixed
zapraszać	ndk	265423	zaprosić	dk	272065	suffixed
zaprzeczać	ndk	264570	zaprzeczyć	dk	273816	suffixed
zarabiać	ndk	251442	zarobić	dk	269150	suffixed
zarzucać	ndk	250537	zarzucić	dk	269787	suffixed
zasiadać	ndk	250609	zasiąść	dk	273254	suffixed
zaskakiwać	ndk	256259	zaskoczyć	dk	274001	suffixed
zasłaniać	ndk	251665	zasłonić	dk	271105	suffixed
zasługiwać	ndk	256166	zasłużyć	dk	275275	suffixed
zastanawiać	ndk	252411	zastanowić	dk	272415	suffixed
zastępować	ndk	259673	zastąpić	dk	271655	suffixed
zatrudniać	ndk	251766	zatrudnić	dk	270762	suffixed
zatrzymywać	ndk	263310	zatrzymać	dk	254247	suffixed
zauważać	ndk	265700	zauważyć	dk	275039	suffixed
zawierać	ndk	254856	zawrzeć	dk	268866	suffixed
zawodzić	ndk	272968	zawieść	dk	273341	suffixed
zawracać	ndk	250375	zawrócić	dk	269585	suffixed
zazdrościć	ndk	269706	pozazdrościć	dk	269707	empty
zaznaczać	ndk	264480	zaznaczyć	dk	273712	suffixed
zbierać	ndk	254780	zebrać	dk	254733	empty
zbierać	ndk	279583	zebrać	dk	279582	empty
zbliżać	ndk	265805	zbliżyć	dk	275140	suffixed
zdarzać	ndk	265164	zdarzyć	dk	274353	suffixed
zdawać	ndk	255872	zdać	dk	250833	suffixed
zdejmować	ndk	259055	zdjąć	dk	265932	suffixed
zdobywać	ndk	263128	zdobyć	dk	273578	suffixed
zdradzać	ndk	264903	zdradzić	dk	272657	suffixed
zerkać	ndk	253200	zerknąć	dk	266626	suffixed
zgadzać	ndk	264845	zgodzić	dk	272857	suffixed
zgłaszać	ndk	265393	zgłosić	dk	272008	suffixed
zjawiać	ndk	252345	zjawić	dk	272142	suffixed
złościć	ndk	269689	zezłościć	dk	269693	empty
złościć	ndk	269689	rozzłościć	dk	269693	empty
zmieniać	ndk	251811	zmienić	dk	270820	suffixed
zmniejszać	ndk	265516	zmniejszyć	dk	274842	suffixed
zmuszać	ndk	265563	zmusić	dk	272105	suffixed
znajdować	ndk	256947	znaleźć	dk	275330	suffixed
znikać	ndk	253139	zniknąć	dk	266557	suffixed
znosić	ndk	272050	znieść	dk	273331	suffixed
zostawać	ndk	255944	zostać	dk	255755	suffixed
zostawiać	ndk	252479	zostawić	dk	272236	suffixed
zrywać	ndk	263579	zerwać	dk	262936	empty
zwalniać	ndk	251886	zwolnić	dk	271011	suffixed
zważać	ndk	265702	zważyć	dk	277497	suffixed
zwiększać	ndk	265522	zwiększyć	dk	274847	suffixed
zwisać	ndk	255179	zwisnąć	dk	267014	suffixed
zwlekać	ndk	253047	zwlec	dk	250122	suffixed
zwracać	ndk	250389	zwrócić	dk	269593	suffixed
zyskiwać	ndk	256410	zyskać	dk	253340	suffixed
żartować	ndk	261524	zażartować	dk	261526	empty
żądać	ndk	250779	zażądać	dk	250780	empty
żegnać	ndk	254280	pożegnać	dk	254285	empty
